,Unnamed: 0,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
0,0,791,2,0,35,7,52436.2,1,1,0,161051.75,0
1,1,705,2,1,42,8,166685.92,2,1,1,55313.51,0
2,2,543,1,0,31,4,138317.94,1,0,0,61843.73,0
3,3,709,1,0,32,2,0.0,2,0,0,109681.29,0
4,4,714,2,0,36,1,101609.01,2,1,1,447.73,0
5,5,499,3,0,42,0,147187.84,1,1,1,14868.94,1
6,6,637,1,1,40,2,133463.1,1,0,1,93165.34,0
7,7,756,2,1,36,2,136815.64,1,1,1,170041.95,0
8,8,487,3,1,33,8,145729.71,1,1,0,41365.85,0
9,9,660,1,0,32,0,114668.89,1,1,0,84605.0,0
10,10,537,1,0,45,7,158621.04,1,1,0,120892.96,1
11,11,717,2,1,35,7,58469.37,2,1,1,172459.39,0
12,12,555,3,1,32,4,0.0,2,1,1,54405.79,0
13,13,535,1,0,27,6,0.0,2,0,1,49775.58,0
14,14,655,3,1,34,1,116114.93,1,1,1,49492.15,0
15,15,620,3,0,43,2,0.0,2,1,0,20670.1,0
16,16,554,3,0,45,4,0.0,2,1,1,193412.05,0
17,17,576,2,0,71,6,140273.47,1,1,1,193135.25,1
18,18,756,1,0,26,5,101641.14,2,0,1,154460.68,0
19,19,553,3,1,38,1,181110.13,2,1,0,184544.59,0
20,20,681,1,0,29,2,148143.84,1,1,1,52021.39,0
21,21,676,3,1,36,1,82729.49,1,1,0,113810.12,0
22,22,850,1,1,31,1,96399.31,2,1,0,106534.15,0
23,23,720,3,0,59,6,0.0,2,1,1,160849.43,1
24,24,562,1,0,27,3,0.0,2,1,0,28137.03,0
25,25,828,1,1,30,4,73070.18,2,0,0,161671.15,0
26,26,662,1,1,74,6,0.0,2,1,0,123583.85,0
27,27,675,3,1,66,5,115654.47,2,1,1,131970.86,0
28,28,679,1,0,33,9,112528.65,2,1,0,177362.45,0
29,29,705,1,1,34,7,117715.84,1,1,0,2498.67,0
30,30,766,3,1,41,0,0.0,2,0,1,34283.23,0
31,31,712,3,0,30,6,0.0,2,1,0,152417.97,0
32,32,654,3,1,40,5,105683.63,1,1,0,173617.09,0
33,33,596,3,0,76,9,134208.25,1,1,1,13455.43,0
34,34,607,3,0,32,7,0.0,3,0,1,10674.62,0
35,35,722,1,0,35,2,163943.89,2,1,1,15068.18,0
36,36,700,1,1,46,5,95872.86,1,1,0,98273.01,1
37,37,476,2,0,34,8,111905.43,1,0,1,197221.81,1
38,38,588,3,1,34,10,0.0,2,1,0,79078.91,0
39,39,829,3,1,50,7,0.0,2,0,1,178458.86,0
40,40,658,1,1,29,3,145512.84,1,1,0,20207.02,0
41,41,632,1,1,71,3,83116.68,1,1,1,27597.76,0
42,42,689,1,1,22,4,136444.25,1,1,0,51980.25,1
43,43,477,2,1,48,8,129250.0,2,1,1,157937.35,0
44,44,718,2,1,32,9,169947.41,2,1,1,27979.16,0
45,45,610,1,0,45,1,0.0,2,1,1,199657.46,0
46,46,382,3,1,36,0,0.0,1,1,1,179540.73,1
47,47,667,1,1,27,7,156811.74,1,1,1,149402.59,0
48,48,508,1,1,31,8,72541.48,1,1,0,129803.08,0
49,49,614,1,0,43,6,0.0,2,1,1,109041.53,0
50,50,756,2,0,39,5,149363.12,2,1,1,109098.39,0
51,51,796,3,1,32,5,102773.15,2,0,1,117832.88,0
52,52,657,1,0,28,7,0.0,2,0,1,5177.62,0
53,53,767,1,0,44,2,152509.25,1,1,1,136915.15,0
